EmpNo,First Name,Last Name,Department,Wage,Project Completion Rate
818,Joseph,Garza,HR,83500.45,26.103798
7123,Bryan,Rose,HR,69489.12,26.124556
6949,Matthew,Williams,Sales,80359.59,26.150717
7359,Lynn,Ryan,Research,36859.03,26.214523
3554,Timothy,Chan,Sales,36235.71,26.225832
6826,Katelyn,Anderson,Testing,65182.04,26.239388
3747,Christopher,Malone,Sales,65862.19,26.294693
6609,Matthew,Donovan,Sales,8836.97,26.300621
7202,Stanley,Carter,Research,12837.72,26.375765
5314,Cathy,Farrell,IT,1037.37,26.38126
8289,Laurie,Levine,IT,87895.7,26.38668
132,Mike,Roberts,Sales,52566.77,26.431229
4054,Shawn,Cole,Sales,78582.46,26.480278
2739,Renee,Hudson,Sales,20086.18,26.520273
1898,Jason,Jackson,HR,64551.38,26.545938
6694,Emily,Davis,HR,62509.83,26.575905
9359,Bonnie,King,IT,63956.34,26.60784
9917,Jorge,Munoz,HR,80147.97,26.680471
1346,Clayton,Solomon,HR,95088.26,26.76658
8937,Larry,Mason,Testing,25150.34,26.797186
8281,Andrea,Kirk,Testing,15607.94,26.840979
2629,Eric,Norton,Sales,10808.42,26.86277
3475,Debra,Gallegos,Testing,15171.17,26.882694
3997,Patricia,Russell,Testing,36149.37,26.926352
9667,Jose,Davis,Research,3711.58,26.963688
8092,Diane,Ballard,Testing,31401.88,27.05978
5140,Megan,Stephenson,HR,42563.6,27.09603
6466,Alexis,Cruz,IT,68997.52,27.161324
8202,Jack,Tapia,Research,1306.45,27.185905
3525,Amanda,Jones,Testing,59850.85,27.187567
4083,Courtney,Matthews,IT,98240.19,27.281553
3898,Molly,Cantu,Sales,15899.64,27.295568
5489,Cathy,Brown,Sales,42063.04,27.327618
3489,Sherry,Sweeney,Research,26443.2,27.396059
9592,Stephanie,White,Testing,97284.65,27.44022
3498,Blake,Cantu,Research,96439.74,27.469217
5600,Anna,Norris,Sales,4833.57,27.47863
3354,Shannon,Underwood,Sales,80003.81,27.551664
6395,Kayla,Williams,Sales,34347.18,27.57148
8884,Sydney,Murphy,Sales,45755.55,27.606558
9083,Alison,Kelley,Sales,87098.47,27.63065
8275,Matthew,Vega,HR,59195.87,27.656622
249,Tony,Woodard,IT,46990.17,27.68134
7805,Andrew,Smith,Testing,35068.32,27.709776
2328,Barbara,Clark,Sales,76723.78,27.740685
7718,Paul,Richards,Sales,63553.04,27.75055
8025,Toni,Armstrong,Sales,32987.82,27.78454
9381,Joanne,Miller,Testing,5116.64,27.79889
8026,Jackie,Alexander,Testing,62043.27,27.830479
4920,Diana,Boyer,HR,75846.15,27.86707
3051,Maria,Weaver,IT,32257.37,27.933031
4355,Gina,Gill,IT,53871.59,27.966702
388,Christopher,Harmon,IT,72901.13,28.009178
1395,Shane,Crawford,Testing,6812.33,28.020065
2398,Ashley,Parker,Research,75954.42,28.051065
2531,Theresa,Gross,Testing,92161.42,28.07967
4873,Michael,Gordon,Sales,28781.26,28.110205
7479,Teresa,Harrington,HR,70973.82,28.170944
5362,Deborah,Richards,Testing,40027.82,28.201778
8177,Jennifer,Miller,Testing,15866.42,28.294802
4231,Rachel,Bolton,IT,38137.17,28.2951
6861,Michael,Diaz,Sales,17297.02,28.343496
2802,Shawn,Mueller,HR,40575.11,28.345917
9719,Megan,Griffin,Testing,75981.85,28.355999
9009,Sara,Dixon,Research,42776.08,28.387695
4838,Joseph,Haley,Sales,49845.41,28.405548
7283,Richard,Schwartz,HR,77284.21,28.418596
4793,David,Nguyen,Sales,65470.63,28.494677
4756,Nicholas,Murphy,Research,51720.17,28.530916
5583,Ms.,Mary,Sales,63099.18,28.59825
3975,Eduardo,Wilson,Testing,29832.29,28.604513
1263,Joel,Williams,Sales,61104.01,28.614582
6266,Douglas,Thompson,HR,50081.35,28.642937
9742,Janice,Gilbert,IT,40237.94,28.71656
2333,Julie,Smith,Sales,24733.6,28.722271
2470,Bobby,Phillips,Research,85019.56,28.72561
2644,Angela,Garcia,IT,98245.16,28.735247
6717,Karen,Todd,Research,73123.41,28.748987
5436,Jennifer,Kane,Sales,96178.0,28.749186
9560,Melissa,Shah,Research,22419.9,28.749798
8012,Joseph,Nelson,IT,36898.94,28.754469
397,Stephanie,Donovan,IT,89912.45,28.765268
5683,Robert,Forbes,Testing,13184.7,28.782593
7473,George,Wyatt,Sales,64005.33,28.789762
648,Megan,Burns,Sales,47765.02,28.810278
978,Christopher,Duran,HR,13162.31,28.819155
4297,Jeremy,Dickerson,HR,38434.68,28.854713
7872,Jessica,Reynolds,Sales,25252.98,28.885925
6278,Larry,Benton,Research,47329.1,28.940836
3734,Brian,Hubbard,Sales,15760.95,28.95223
6132,Thomas,Ramos,Sales,85664.96,29.00496
2125,Chelsea,Frank,IT,77589.76,29.013163
9977,Deanna,Jackson,Testing,76019.32,29.020002
4212,Manuel,Patrick,Sales,82888.08,29.020958
3683,Ashley,Chapman,HR,58852.37,29.03272
8137,Dr.,Krista,HR,68062.26,29.035515
5178,Rebecca,Sullivan,Testing,38982.0,29.07826
9873,Diane,Smith,Sales,76641.65,29.096281
1849,Mr.,Christopher,Testing,57275.54,29.09842
924,Amy,Ortiz,Sales,73122.59,29.09899
5057,Denise,Richardson,Sales,84265.41,29.103067
457,Maria,Chapman,Sales,87178.85,29.1082
5575,Bethany,Rivera,Sales,7114.88,29.129753
4485,Matthew,Smith,Research,84809.59,29.137453
1496,Mrs.,Joanne,Research,7061.75,29.196926
3094,Ryan,Miller,Sales,19899.82,29.205439
6714,Joshua,Mitchell,IT,73749.68,29.314873
9376,Eric,Johnson,HR,99967.7,29.339647
260,David,Williams,Sales,44924.4,29.340662
1780,Steven,Taylor,HR,13168.05,29.371872
6468,Adam,Duke,HR,14607.66,29.377298
4405,Lisa,Smith,Sales,46053.51,29.38689
1641,Zachary,Lucas,IT,42017.9,29.438679
8187,Paul,Martinez,IT,69698.73,29.458075
2937,John,Kim,Testing,72234.85,29.468576
3458,Michael,Williams,IT,97229.47,29.472775
6231,Shelby,Rodriguez,Testing,63474.65,29.477192
570,Jennifer,Hill,IT,94362.53,29.481377
8372,Adam,Johnson,HR,50199.93,29.48303
4590,Brandy,Lewis,Sales,36884.87,29.485762
8344,Michael,Carlson,Testing,97377.8,29.486635
8501,Stephen,Rosario,Research,55175.71,29.505274
2553,Brooke,Cruz,Research,4725.27,29.556622
7927,Jennifer,Rodriguez,Research,1888.48,29.559832
9446,Hannah,Bass,HR,11784.01,29.570831
8606,Allison,Williams,Testing,95457.88,29.581427
2291,Larry,Horn,Testing,51298.33,29.606962
3855,Justin,Baker,IT,47663.96,29.619982
8729,Pamela,Padilla,Testing,22613.74,29.631516
6135,Michael,Lane,Testing,27890.38,29.634274
3530,Stephanie,Mitchell,Sales,80977.43,29.665884
2803,Brittany,Thompson,IT,38284.21,29.686901
2066,Timothy,Johnson,HR,84961.44,29.751682
2145,Randall,Robinson,HR,81732.96,29.752161
3400,Jennifer,Lee,HR,61163.66,29.764975
7576,Maria,Chavez,IT,73084.35,29.77694
8628,Vernon,Mckenzie,IT,55478.99,29.790573
2041,Tina,Burns,Sales,28344.28,29.81522
3398,Donald,Simmons,Testing,14577.94,29.822704
8739,Robert,Gray,Testing,83882.2,29.832836
8610,Fernando,Molina,Sales,97123.85,29.850002
3547,Kelly,Moore,HR,25727.44,29.85551
4878,David,Hernandez,Research,32159.06,29.861385
1401,Carlos,Webster,IT,87893.95,29.87577
5694,Andrea,Morales,Sales,33715.62,29.881083
8944,Justin,Carroll,IT,52017.33,29.88933
8094,Adam,Holt,Research,41130.61,29.909193
2643,Jonathan,Palmer,HR,87823.23,29.921711
3532,Amy,Bowman,Research,34545.9,29.930342
8581,Taylor,Blanchard,HR,72520.31,29.939274
803,David,Duran,Sales,12968.98,29.9483
9976,Joshua,Koch,Research,73517.95,29.953836
4366,Jennifer,Miles,Sales,35289.85,29.957045
1077,Gabriel,Jones,Sales,89617.47,29.98366
8600,Peter,Wheeler,HR,66946.51,30.002262
92,Mr.,Mark,Sales,4954.14,30.004244
4429,Jason,Wolf,HR,56933.45,30.008612
9576,Dr.,Michael,Testing,89107.04,30.016466
7180,Jeffrey,Douglas,HR,60583.49,30.037552
9262,Scott,Murray,HR,43955.46,30.074444
382,Dana,Smith,IT,76444.76,30.082191
3562,Monica,Lozano,HR,85812.25,30.082937
4656,Ashley,Cameron,IT,24159.27,30.090675
8771,Katherine,Gonzales,IT,87126.7,30.092785
8422,David,Horn,IT,44375.37,30.102533
9659,Ashley,Davis,HR,93743.73,30.155298
6663,Jessica,Mann,Testing,68997.91,30.19037
5150,Victoria,Mccullough,HR,72062.98,30.199335
5301,Terry,Gonzalez,Sales,6641.89,30.21015
8623,Kayla,Davis,HR,31981.34,30.211456
2695,Mary,Ritter,Testing,18590.61,30.212326
8028,Lauren,Carpenter,IT,21465.72,30.304604
4357,Dustin,Lloyd,HR,83006.25,30.315601
7281,Victoria,King,HR,84178.49,30.316893
7279,Brandon,Wilson,Testing,38650.91,30.3631
5907,Carrie,Ortiz,Research,75605.51,30.366373
3629,Ashlee,Stanley,Research,31690.46,30.369638
6350,James,Barrett,Sales,10656.77,30.38996
7211,David,Taylor,Research,95516.93,30.391136
2746,Melinda,Perez,IT,64656.89,30.391907
1843,Michelle,Stewart,Testing,59121.8,30.39304
7117,Brandon,Price,Sales,93009.41,30.394863
4865,Jack,Sosa,Sales,88632.34,30.446428
5196,Dr.,Brian,Research,24593.28,30.455334
1614,David,Calderon,Research,67177.35,30.45763
361,Michelle,Mcbride,Testing,36502.78,30.462526
6645,William,Dennis,Sales,49171.22,30.46394
2052,Mary,Thomas,Testing,58353.77,30.473677
9679,Pamela,Mccormick,Research,36959.83,30.475962
3253,Allen,Stone,HR,60242.67,30.484777
4809,Jack,Frank,IT,21259.71,30.487177
4835,Angela,Smith,HR,23526.49,30.490492
5359,Brett,Edwards,HR,74868.25,30.492268
5032,Kevin,Chaney,HR,37857.87,30.50735
1241,Heather,Sanders,Research,38869.98,30.508108
6966,Andrea,Smith,IT,72939.44,30.511003
5902,Anthony,Ramos,HR,89777.16,30.515442
962,Carla,Orozco,Sales,58583.0,30.519567
2836,Donna,Perez,Testing,36974.08,30.577892
5326,Kenneth,Cowan,IT,76271.42,30.589045
3404,Karen,Perez,Sales,10435.26,30.595535
6246,Todd,Green,Research,63370.71,30.600891
6856,Matthew,Montgomery,IT,35451.85,30.616493
5602,Bethany,Rose,HR,51681.22,30.62162
4278,Joseph,Johnson,Sales,58291.81,30.672392
1561,Patricia,Dunn,IT,47371.13,30.680243
9639,Savannah,Thomas,Testing,39080.01,30.697735
2483,Janet,Johnson,Research,93530.64,30.716524
2720,Maxwell,Soto,Testing,82326.45,30.766306
9396,Xavier,Davis,HR,10140.45,30.768288
185,Jonathan,Taylor,IT,90902.73,30.772495
4288,Mr.,Scott,HR,26608.12,30.776909
1452,James,Hudson,IT,7274.23,30.801598
4618,Wendy,Green,HR,76116.44,30.801844
624,Jessica,Harrison,Testing,24215.77,30.82189
1868,Kelly,Dunn,Testing,36093.52,30.834316
3543,Sheila,Palmer,Research,6314.35,30.835354
1446,Heather,Gross,IT,79521.88,30.86123
4035,Danielle,Taylor,IT,8133.01,30.861334
4996,Anthony,Washington,IT,65500.62,30.906443
2626,Christopher,Smith,HR,76798.14,30.914415
7360,Jacob,Perry,Research,26834.79,30.914433
7709,Eddie,Price,Sales,58186.06,30.924555
5758,Jessica,Barnes,IT,82501.95,31.03579
7786,Joseph,Adkins,Sales,29167.89,31.039186
3375,Emily,Bryan,IT,3944.18,31.047253
1354,Tammy,Stokes,Testing,8857.65,31.058598
6213,Cheryl,Wells,HR,72766.18,31.11137
6876,Brandon,Cooper,IT,64875.76,31.114056
7484,Michael,Hunt,Testing,53095.28,31.120043
8138,Wendy,Baldwin,HR,69740.38,31.134089
6469,Connie,Clark,Testing,83106.17,31.182365
6524,Tyler,Burgess,Testing,68373.37,31.238358
3577,Courtney,Villanueva,HR,10299.32,31.243515
7751,Emily,Adams,Sales,77640.17,31.254038
568,April,Robertson,Testing,19152.52,31.292198
960,Ryan,Hudson,Research,41074.23,31.293245
1583,Erik,Anderson,Research,893.93,31.300482
9149,William,Pennington,IT,49890.32,31.30561
3966,Laura,Stephens,Sales,27313.69,31.33181
563,Mario,Sandoval,Testing,37851.0,31.34082
3079,John,Meyer,IT,31733.78,31.343122
6669,Janet,Hanson,HR,31006.54,31.376732
220,Susan,Harris,HR,39428.93,31.38042
8295,Christy,Caldwell,Testing,79501.47,31.409695
8312,Amy,Alvarado,IT,36921.93,31.43574
7936,Catherine,Barrett,IT,53999.11,31.448408
1359,Robert,Michael,IT,93043.09,31.464207
9172,Clinton,Wilson,Sales,21392.87,31.481218
9490,Gary,Tran,Sales,6529.02,31.49306
5182,Laura,Mccoy,Sales,67145.35,31.50223
789,William,Anderson,Sales,26384.69,31.506048
2574,Meghan,Moss,Research,2718.15,31.51436
8355,Jimmy,Hale,Sales,79790.63,31.521107
4096,Alex,Steele,IT,14687.16,31.530571
7342,Christopher,Howard,Sales,24928.91,31.53885
5159,Mary,Baker,HR,54011.28,31.55297
9670,Jake,Peters,Sales,25787.16,31.556192
3684,Andrea,Mahoney,Research,8882.78,31.57081
3962,William,Stewart,IT,29557.48,31.593342
4506,Ronald,Ruiz,Testing,74459.32,31.607544
6473,Travis,Lee,Research,8895.68,31.61185
8038,Richard,Campbell,IT,54544.07,31.63149
7417,Mr.,Kevin,IT,47529.95,31.647976
4553,Justin,Parker,Research,19463.07,31.663538
9307,Melissa,Harrington,Sales,91066.69,31.66633
170,Donald,Torres,Sales,37755.71,31.690987
8707,Linda,Jimenez,IT,2663.6,31.692833
78,Chad,Heath,Research,84196.9,31.705746
3727,Carlos,Ruiz,IT,1846.08,31.727957
8396,Larry,Jones,Research,97800.53,31.746614
9673,Scott,Key,Testing,67214.19,31.747383
3241,Autumn,Harris,HR,4433.5,31.762114
2376,Michael,Flowers,Research,77568.27,31.797836
9775,Mitchell,Levine,Research,51267.48,31.808678
1107,Troy,Reyes,IT,84504.43,31.810553
8896,Sarah,Bass,HR,22639.37,31.818417
1055,Cindy,Duarte,Research,92429.25,31.861187
8122,Gregg,Moore,HR,82452.6,31.879988
9456,Lisa,Deleon,HR,96437.11,31.882067
4070,Annette,Campbell,Testing,76469.22,31.884058
9144,Hector,Wood,Research,51271.17,31.887823
6287,Abigail,Wright,HR,32960.19,31.893625
9590,Dana,Wilson,HR,74287.16,31.914839
2825,Nicholas,Gutierrez,HR,58443.89,31.930016
5056,Wesley,Poole,Testing,45533.16,31.937872
2315,David,Roy,HR,93535.33,31.96013
3518,Ashley,Gonzalez,IT,27980.18,31.973667
2352,Jessica,Jackson,Sales,36355.21,31.987822
9321,Tyler,Thomas,HR,62261.63,32.042007
6044,Mrs.,Cynthia,IT,65072.22,32.04866
5435,Tiffany,Sheppard,Sales,92390.2,32.08106
3798,Lisa,Simmons,Testing,6541.27,32.09262
3890,Joseph,Jones,Testing,63029.0,32.105885
8804,Kristine,Medina,HR,79939.49,32.1121
4317,Michelle,Jones,Sales,24842.25,32.139507
7847,Ian,Jackson,IT,22373.97,32.139664
6689,Vanessa,Ali,IT,49072.92,32.149765
6860,James,Clark,Testing,65474.32,32.17483
4833,Alexander,Simpson,Research,38988.53,32.19154
8249,Cassandra,Farmer,HR,73679.35,32.20414
1557,Emily,Walker,HR,69813.93,32.24473
2871,Shelby,Beck,Research,90887.45,32.251293
8544,Thomas,Williams,HR,27391.68,32.263
4236,Ellen,Castillo,Research,83985.77,32.27065
2904,Courtney,Hall,IT,93362.63,32.277378
4621,Donna,Evans,Testing,61875.88,32.278957
623,Anna,Perkins,IT,99415.88,32.311028
815,Daniel,Monroe,Research,25516.73,32.32906
9507,Hannah,Williams,Research,72901.35,32.33115
3600,Amanda,Saunders,Research,21663.72,32.33428
8822,Jonathan,Morris,Research,59675.45,32.343582
7697,Susan,Holmes,HR,96085.01,32.351513
3581,Holly,Flynn,Sales,26285.19,32.371193
7366,Karen,Ford,Testing,58795.96,32.399693
3301,Kaitlyn,Andrews,IT,83603.35,32.400356
4148,Linda,Hall,IT,82475.23,32.43931
872,Crystal,Pham,Testing,13401.22,32.470886
9348,Shane,Santiago,Research,84733.03,32.471077
951,Sherry,Lee,HR,57484.08,32.48102
9278,Donald,Black,IT,82212.62,32.492657
2837,Alexander,Thompson,HR,6369.43,32.497482
1703,Dawn,Thomas,HR,61918.97,32.50032
8897,Joshua,Neal,Research,70850.04,32.52236
295,Melissa,Shelton,Testing,30665.85,32.53277
9045,Micheal,Munoz,Testing,73769.76,32.533997
9464,Dana,Carpenter,Sales,50652.07,32.548546
7570,Chad,Wade,IT,81736.98,32.552868
3799,Fernando,Jensen,HR,72036.01,32.566082
381,James,Smith,Sales,54449.55,32.58536
2499,Wendy,Baker,Research,3953.84,32.58742
4309,Michelle,Perez,IT,97225.02,32.5986
5439,Susan,Barnes,HR,90000.98,32.631367
1804,Eric,Johnson,Research,63588.77,32.65031
1144,Guy,Richardson,IT,47490.01,32.688023
3761,Heather,Fields,IT,33168.57,32.689754
369,Brianna,Dorsey,HR,55941.89,32.71351
2819,Tina,White,Testing,83302.06,32.716156
2109,Matthew,Williams,Sales,34304.89,32.71998
7234,John,Brooks,Testing,89581.04,32.72438
5286,Yvonne,Allen,Sales,70906.15,32.73039
2325,Craig,Dawson,Sales,66952.39,32.73054
6157,Cassandra,Luna,Sales,46545.44,32.748123
4062,Samantha,Wilcox,Testing,67728.07,32.750217
9988,Kayla,Wheeler,HR,28862.53,32.758724
5369,Jeffrey,Orozco,IT,8464.03,32.794582
9635,Robert,Goodwin,IT,18019.51,32.799976
1274,Diana,Roman,HR,70772.8,32.807888
931,Ms.,Patricia,Research,46104.04,32.809315
8101,Kevin,Ritter,Sales,16604.12,32.82434
9678,Connie,Shaw,IT,98166.0,32.841793
6351,Edgar,Valdez,Sales,79082.06,32.845676
9761,Amber,Hood,Testing,67462.62,32.84786
7820,Gary,Foster,HR,68751.92,32.849167
9062,Dr.,Jay,Research,64897.73,32.853302
6482,Christopher,Sutton,Testing,89919.94,32.854473
8900,Linda,Pollard,Research,54558.31,32.854946
2502,Kathy,Lewis,HR,78843.41,32.87541
4672,Laura,Simmons,Testing,67959.66,32.885006
3448,Nicholas,Coleman,Research,13553.6,32.903465
7406,David,White,Research,20942.87,32.904015
4007,Alexandra,Valdez,Research,69896.95,32.90478
9983,Kyle,Garcia,IT,11859.37,32.92069
9123,Justin,Rice,IT,96292.05,32.92083
3369,Gary,Hodge,Research,89213.61,32.921295
9584,Michael,Ortega,IT,63416.6,32.945362
3231,Morgan,Frey,Sales,51270.02,32.95334
1493,Brianna,Scott,Research,49580.43,32.961006
7327,Joseph,Williams,Testing,66464.28,32.962177
2311,Christine,Perkins,IT,60944.94,32.962933
9852,Isabel,Roberts,Research,44788.51,32.967228
8585,Margaret,Richard,Sales,87102.54,32.981102
8564,Brittany,Cook,Research,59931.23,32.983364
8934,Kenneth,Foster,Testing,49859.32,32.993927
5858,Monica,Smith,IT,94488.41,32.995506
1579,Brittany,Herman,IT,35289.32,33.020573
7657,Brandi,Flowers,IT,91877.49,33.025734
7451,Sandra,Spencer,HR,41331.14,33.02712
3109,Kimberly,Porter,Sales,7109.61,33.027462
8140,Yvette,Patterson,Research,49094.62,33.04182
5536,Barry,Sharp,HR,69879.3,33.051025
5657,Anthony,Davis,Research,53612.29,33.05183
3702,Christopher,Walker,Sales,94904.58,33.053734
1039,Vicki,Alvarez,Research,41672.4,33.060085
190,Randy,Tucker,Testing,74638.09,33.060143
6574,Stanley,Cole,IT,41240.03,33.061123
7115,Ashley,Jones,IT,51795.39,33.062614
8737,Deborah,Baxter,IT,67420.15,33.062668
5844,Denise,Tran,HR,53162.37,33.111565
9877,Miss,Lori,IT,84236.27,33.123016
34,Brenda,Smith,Testing,54380.1,33.126427
7217,Emily,Freeman,Research,48518.72,33.128704
2403,Stanley,Miller,IT,74441.57,33.17032
9289,Bradley,Holmes,Testing,25735.53,33.18554
9537,Joseph,Young,IT,41249.17,33.20028
8231,Jordan,Torres,Sales,33416.14,33.213276
2690,Cindy,Moss,Research,58105.49,33.228886
379,Whitney,Martinez,Sales,87271.59,33.241898
8879,Bonnie,Powell,Sales,49065.06,33.24821
1901,Tracey,Hughes,HR,19881.73,33.273525
2092,Judy,Potter,HR,41121.62,33.277008
2998,Jillian,Jackson,HR,1583.96,33.282875
4011,Christopher,Jackson,Sales,1626.08,33.288536
9961,Maxwell,Reese,HR,29972.81,33.2906
3946,John,Campbell,HR,54033.82,33.300068
8336,Angela,Ramsey,Research,22531.55,33.31126
1612,Kimberly,Rodriguez,Sales,77457.33,33.345108
3314,Alicia,Whitehead,IT,96769.47,33.34661
31,Sherry,Jackson,Testing,17880.8,33.350323
4692,Cynthia,Espinoza,Testing,30021.06,33.354378
3631,Samuel,Chavez,Research,35767.8,33.377064
9327,Mike,Huang,IT,89604.81,33.384945
2408,Rebecca,Perez,IT,14483.09,33.405453
5131,Robert,Long,Sales,53439.61,33.40865
750,Allison,Hogan,IT,61611.83,33.410416
9433,Emily,Walsh,HR,49056.08,33.43657
4779,Mary,Jones,HR,76448.44,33.438232
4806,Matthew,Brown,HR,99877.65,33.44243
947,Benjamin,Martin,Research,91741.8,33.449932
9975,Amy,Ross,HR,10812.84,33.451862
8806,Ricky,Williams,Research,86954.29,33.45643
4026,Sarah,Hayes,Testing,2644.6,33.464752
9921,Kevin,Contreras,HR,90209.34,33.503284
3122,Jonathan,Duncan,Testing,39073.41,33.503517
500,Maria,Williams,HR,65720.43,33.50801
5288,Charles,Mcdaniel,Sales,83361.1,33.52571
3215,Audrey,Haley,IT,76672.73,33.55962
7043,Cody,Fowler,Research,22783.21,33.559776
8024,Keith,Todd,Sales,27476.93,33.567875
7665,Timothy,Curry,HR,31641.1,33.5695
2276,Kristen,Swanson,Research,82900.8,33.58283
9839,Jeffrey,Gaines,Testing,96247.96,33.596344
7687,Anthony,Mann,IT,23563.61,33.599274
7891,Dr.,Michelle,Sales,58114.94,33.604385
6642,Nathaniel,Salazar,Testing,99550.17,33.6208
7993,Billy,Walls,Testing,91934.29,33.626286
3124,Lauren,Ortiz,HR,86541.88,33.627346
4732,Michael,Turner,HR,55662.5,33.63786
2731,Jennifer,Murphy,Research,37138.2,33.647114
8135,Ashley,Jones,Sales,2354.9,33.648373
1946,Christine,Gomez,IT,64793.5,33.68617
5782,Andrew,Sanders,Research,83352.02,33.688396
6152,Desiree,Harding,Sales,87331.22,33.70921
8020,Steven,Johnson,IT,88189.38,33.71764
3026,Kristin,Hernandez,IT,94223.55,33.719635
6328,Jessica,Fox,Research,74858.1,33.728718
708,Jason,Smith,Testing,33891.48,33.72896
591,David,Huynh,Testing,1282.48,33.734406
8992,Erin,Andrews,HR,77727.52,33.739315
1036,Melvin,Santana,HR,57368.15,33.7414
6229,Justin,Jenkins,Sales,16281.5,33.743927
5004,Michelle,Solis,Testing,64543.67,33.753887
6039,Phillip,Lewis,Testing,67380.26,33.76213
5546,Emily,Barnes,Research,4894.79,33.763237
8074,Brittany,Taylor,Sales,17076.41,33.80006
2130,Alan,Miller,HR,53995.48,33.806595
8663,Christopher,Carter,Sales,42566.65,33.81091
8891,Robert,Harding,IT,30172.53,33.82174
8413,Christopher,Walker,HR,38349.38,33.823917
4954,Monica,Goodwin,IT,41690.23,33.82699
8847,Andrew,Foster,Testing,62651.31,33.8346
1313,Ariel,Jones,HR,77427.77,33.83805
